97,"CPU(brand='AMD', model='Athlon II X3 440', cores=3, base_clock=ClockSpeed(cycles=3000000000), boost_clock=None, tdp=95, integrated_graphics=None, multithreading=False, price=<Money: 0.00 USD>)"
98,"CPU(brand='AMD', model='Athlon II X3 445', cores=3, base_clock=ClockSpeed(cycles=3100000000), boost_clock=None, tdp=95, integrated_graphics=None, multithreading=False, price=<Money: 0.00 USD>)"
99,"CPU(brand='AMD', model='Athlon II X3 450', cores=3, base_clock=ClockSpeed(cycles=3200000000), boost_clock=None, tdp=95, integrated_graphics=None, multithreading=False, price=<Money: 0.00 USD>)"
100,"CPU(brand='AMD', model='Athlon II X3 455', cores=3, base_clock=ClockSpeed(cycles=3300000000), boost_clock=None, tdp=95, integrated_graphics=None, multithreading=False, price=<Money: 0.00 USD>)"
101,"CPU(brand='AMD', model='Athlon II X3 460', cores=3, base_clock=ClockSpeed(cycles=3400000000), boost_clock=None, tdp=95, integrated_graphics=None, multithreading=False, price=<Money: 0.00 USD>)"
102,"CPU(brand='AMD', model='Athlon II X4 600e', cores=4, base_clock=ClockSpeed(cycles=2200000000), boost_clock=None, tdp=45, integrated_graphics=None, multithreading=False, price=<Money: 0.00 USD>)"
103,"CPU(brand='AMD', model='Athlon II X4 605e', cores=4, base_clock=ClockSpeed(cycles=2300000000), boost_clock=None, tdp=45, integrated_graphics=None, multithreading=False, price=<Money: 0.00 USD>)"
104,"CPU(brand='AMD', model='Athlon II X4 610e', cores=4, base_clock=ClockSpeed(cycles=2400000000), boost_clock=None, tdp=45, integrated_graphics=None, multithreading=False, price=<Money: 0.00 USD>)"
105,"CPU(brand='AMD', model='Athlon II X4 620', cores=4, base_clock=ClockSpeed(cycles=2600000000), boost_clock=None, tdp=95, integrated_graphics=None, multithreading=False, price=<Money: 203.38 USD>)"
106,"CPU(brand='AMD', model='Athlon II X4 620', cores=4, base_clock=ClockSpeed(cycles=2600000000), boost_clock=None, tdp=95, integrated_graphics=None, multithreading=False, price=<Money: 59.49 USD>)"
107,"CPU(brand='AMD', model='Athlon II X4 630', cores=4, base_clock=ClockSpeed(cycles=2800000000), boost_clock=None, tdp=95, integrated_graphics=None, multithreading=False, price=<Money: 91.40 USD>)"
108,"CPU(brand='AMD', model='Athlon II X4 630', cores=4, base_clock=ClockSpeed(cycles=2800000000), boost_clock=None, tdp=95, integrated_graphics=None, multithreading=False, price=<Money: 52.60 USD>)"
109,"CPU(brand='AMD', model='Athlon II X4 630', cores=4, base_clock=ClockSpeed(cycles=2800000000), boost_clock=None, tdp=95, integrated_graphics=None, multithreading=False, price=<Money: 0.00 USD>)"
110,"CPU(brand='AMD', model='Athlon II X4 631', cores=4, base_clock=ClockSpeed(cycles=2600000000), boost_clock=None, tdp=100, integrated_graphics=None, multithreading=False, price=<Money: 0.00 USD>)"
111,"CPU(brand='AMD', model='Athlon II X4 635', cores=4, base_clock=ClockSpeed(cycles=2900000000), boost_clock=None, tdp=95, integrated_graphics=None, multithreading=False, price=<Money: 65.07 USD>)"
112,"CPU(brand='AMD', model='Athlon II X4 635', cores=4, base_clock=ClockSpeed(cycles=2900000000), boost_clock=None, tdp=95, integrated_graphics=None, multithreading=False, price=<Money: 0.00 USD>)"
113,"CPU(brand='AMD', model='Athlon II X4 638', cores=4, base_clock=ClockSpeed(cycles=2700000000), boost_clock=None, tdp=65, integrated_graphics=None, multithreading=False, price=<Money: 0.00 USD>)"
